Borough,Neighbourhood,game,year,Ticket_sales,Net_sales,Income,SES,Education,MBSA,Population,jackpot_size
Central Toronto,Roselawn,Lotto 649,2015,93.23835616438356,517.5287671232877,39461,2.599193831,12.03550658,0.758849558,16349,14010958.90410959
Central Toronto,Roselawn,Lotto Max,2012,109.03005464480874,943.2650273224044,39461,2.599193831,12.03550658,0.758849558,16349,35483606.55737705
Central Toronto,Roselawn,Lotto Max,2013,81.35342465753425,673,39461,2.599193831,12.03550658,0.758849558,16349,27515068.493150685
Central Toronto,Roselawn,Lotto Max,2014,80.33698630136986,649.8219178082192,39461,2.599193831,12.03550658,0.758849558,16349,28005479.452054795
Central Toronto,Roselawn,Lotto Max,2015,75.51506849315068,614.5068493150685,39461,2.599193831,12.03550658,0.758849558,16349,40539726.02739726
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lottario,2012,7.109826589595376,22.797687861271676,50139,5.060602114,14.84435342,0.827823691,17271,454017.34104046243
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lottario,2013,9.943661971830986,38.219718309859154,50139,5.060602114,14.84435342,0.827823691,17271,491211.2676056338
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lottario,2014,8.958100558659218,37.402234636871505,50139,5.060602114,14.84435342,0.827823691,17271,387991.62011173187
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lottario,2015,11.295580110497237,58.32044198895028,50139,5.060602114,14.84435342,0.827823691,17271,493618.78453038674
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lotto 649,2012,61.51912568306011,281.3551912568306,50139,5.060602114,14.84435342,0.827823691,17271,10366120.218579235
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lotto 649,2013,71.147945205479445,358.2712328767123,50139,5.060602114,14.84435342,0.827823691,17271,10890410.95890411
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lotto 649,2014,61.53150684931507,356.66301369863015,50139,5.060602114,14.84435342,0.827823691,17271,8641095.89041096
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lotto 649,2015,78.57260273972602,467.44109589041096,50139,5.060602114,14.84435342,0.827823691,17271,14010958.90410959
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lotto Max,2012,55.98360655737705,472.0081967213115,50139,5.060602114,14.84435342,0.827823691,17271,35483606.55737705
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lotto Max,2013,46.57808219178082,385.4657534246575,50139,5.060602114,14.84435342,0.827823691,17271,27515068.493150685
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lotto Max,2014,50.43013698630137,407.1232876712329,50139,5.060602114,14.84435342,0.827823691,17271,28005479.452054795
Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Lotto Max,2015,70.6986301369863,589.917808219178,50139,5.060602114,14.84435342,0.827823691,17271,40539726.02739726
Central Toronto,The Annex / North Midtown / Yorkville,Lottario,2012,61.959016393442624,199.08743169398906,35734,3.602324558,15.53738019,0.795071336,25056,448142.07650273223
Central Toronto,The Annex / North Midtown / Yorkville,Lottario,2013,70.0054794520548,221.64383561643837,35734,3.602324558,15.53738019,0.795071336,25056,486767.12328767125
