game,year,day,total_jp_size,total_jp_sales
Lotto 649,2012,24,9500000,827.8740740740741
Lotto 649,2012,25,10457786.195286196,940.3512626262626
Lotto 649,2012,26,9500000,754.337037037037
Lotto 649,2012,27,10291666.666666666,785.5074074074074
Lotto 649,2012,28,11125000,1031.5379629629629
Lotto 649,2012,29,11791666.666666666,877.1916666666667
Lotto 649,2012,30,11590909.090909092,807.0919191919191
Lotto 649,2012,31,10642857.142857144,958.8619047619047
Lotto 649,2013,1,11925673.4006734,719.9006734006734
Lotto 649,2013,2,12625000,1005.7314814814815
Lotto 649,2013,3,11416666.666666666,823.95
Lotto 649,2013,4,12208333.333333334,849.7740740740741
Lotto 649,2013,5,11633712.121212121,885.0302188552189
Lotto 649,2013,6,12041666.666666666,1031.6092592592593
Lotto 649,2013,7,11333333.333333334,735.0268518518518
Lotto 649,2013,8,12000000,753.4796296296296
Lotto 649,2013,9,12708333.333333334,1080.0046296296296
Lotto 649,2013,10,13750000,943.424074074074
Lotto 649,2013,11,14458333.333333334,942.8675925925926
Lotto 649,2013,12,13791666.666666666,1092.1685185185186
Lotto 649,2013,13,11625000,1311.9527777777778
Lotto 649,2013,14,8674074.074074073,702.9914983164983
Lotto 649,2013,15,7791666.666666667,723.5027777777777
Lotto 649,2013,16,8166666.666666667,945.1648148148148
Lotto 649,2013,17,6625000,695.9638888888888
Lotto 649,2013,18,7333333.333333333,746.4666666666667
Lotto 649,2013,19,8125000,827.1333333333333
Lotto 649,2013,20,7458333.333333333,945.3611111111111
Lotto 649,2013,21,8041666.666666667,695.7953703703704
Lotto 649,2013,22,9029797.97979798,727.4627104377105
Lotto 649,2013,23,9583333.333333334,966.6935185185185
Lotto 649,2013,24,11208333.333333334,815
Lotto 649,2013,25,11917592.592592591,778.2962962962963
Lotto 649,2013,26,12083333.333333334,864.299074074074
Lotto 649,2013,27,12791666.666666666,1040.8314814814814
Lotto 649,2013,28,13416666.666666666,818.9222222222222
Lotto 649,2013,29,11545454.545454545,699.5666666666667
Lotto 649,2013,30,11954545.454545455,976.2767676767677
Lotto 649,2013,31,10214285.714285715,859.5269841269841
Lotto 649,2014,1,11019393.93939394,716.5867171717172
Lotto 649,2014,2,9333333.333333334,606.6685185185186
Lotto 649,2014,3,8333333.333333333,675.0796296296296
Lotto 649,2014,4,6250000,641.1833333333333
Lotto 649,2014,5,5666666.666666667,721.3648148148148
Lotto 649,2014,6,6000000,561.025
Lotto 649,2014,7,6333333.333333333,550.2212962962963
Lotto 649,2014,8,6500000,739.3870370370371
Lotto 649,2014,9,7333333.333333333,580.2981481481481
Lotto 649,2014,10,7666666.666666667,635.7425925925926
Lotto 649,2014,11,7416666.666666667,639.1472222222222
Lotto 649,2014,12,7833333.333333333,732.1796296296296
Lotto 649,2014,13,8166666.666666667,572.7851851851851
Lotto 649,2014,14,8583333.333333334,610.3546296296296
Lotto 649,2014,15,8416666.666666666,777.8796296296297
Lotto 649,2014,16,10000000,598.2305555555556
Lotto 649,2014,17,9992929.292929294,654.5440235690236
Lotto 649,2014,18,10000000,662.1685185185186
Lotto 649,2014,19,9333333.333333334,781.3166666666667
Lotto 649,2014,20,9250000,579.6472222222222
Lotto 649,2014,21,9416666.666666666,603.7444444444444
Lotto 649,2014,22,9583333.333333334,797.8814814814815
Lotto 649,2014,23,8666666.666666666,619.9342592592593
