game,year,month_str,week,total_jp_size,total_jp_sales
Lotto 649,2012,May,Tuesday,11600000,658.3666666666667
Lotto 649,2012,May,Wednesday,11600000,1777.9977777777779
Lotto 649,2012,May,Thursday,16200000,624.2755555555556
Lotto 649,2012,May,Friday,13750000,969.4305555555555
Lotto 649,2012,May,Saturday,13750000,1648.286111111111
Lotto 649,2012,May,Sunday,12750000,265.40555555555557
Lotto 649,2012,June,Monday,13500000,499.8611111111111
Lotto 649,2012,June,Tuesday,13500000,691.6972222222222
Lotto 649,2012,June,Wednesday,13500000,1799.9055555555556
Lotto 649,2012,June,Thursday,17125000,640.5444444444445
Lotto 649,2012,June,Friday,18900000,1075.2422222222222
Lotto 649,2012,June,Saturday,18900000,1814.18
Lotto 649,2012,June,Sunday,13500000,277.2472222222222
Lotto 649,2012,July,Monday,8000000,375.6355555555555
Lotto 649,2012,July,Tuesday,8000000,584.82
Lotto 649,2012,July,Wednesday,6000000,1521.5861111111112
Lotto 649,2012,July,Thursday,7375000,497.48333333333335
Lotto 649,2012,July,Friday,7375000,841.3888888888889
Lotto 649,2012,July,Saturday,7375000,1405.7888888888888
Lotto 649,2012,July,Sunday,8000000,223.1888888888889
Lotto 649,2012,August,Monday,10446296.296296297,357.4185185185185
Lotto 649,2012,August,Tuesday,10500000,593.8944444444444
Lotto 649,2012,August,Wednesday,11600000,1669.4777777777779
Lotto 649,2012,August,Thursday,12300000,518.6688888888889
Lotto 649,2012,August,Friday,12300000,856.4577777777778
Lotto 649,2012,August,Saturday,14500000,1485.7
Lotto 649,2012,August,Sunday,10500000,232.175
Lotto 649,2012,September,Monday,3000000,334.65
Lotto 649,2012,September,Tuesday,3000000,514.9305555555555
Lotto 649,2012,September,Wednesday,3000000,1528.0027777777777
Lotto 649,2012,September,Thursday,5500000,503.10277777777776
Lotto 649,2012,September,Friday,5500000,847.3472222222222
Lotto 649,2012,September,Saturday,5100000,1463.0177777777778
Lotto 649,2012,September,Sunday,4000000,226.99777777777777
Lotto 649,2012,October,Monday,11400000,397.7088888888889
Lotto 649,2012,October,Tuesday,11400000,599.3133333333333
Lotto 649,2012,October,Wednesday,11400000,1660.5666666666666
Lotto 649,2012,October,Thursday,9375000,511.65555555555557
Lotto 649,2012,October,Friday,9375000,884.8805555555556
Lotto 649,2012,October,Saturday,9375000,1486.036111111111
Lotto 649,2012,October,Sunday,12250000,248.90277777777777
Lotto 649,2012,November,Monday,23000000,531.6777777777778
Lotto 649,2012,November,Tuesday,23000000,826.7361111111111
Lotto 649,2012,November,Wednesday,23000000,2241.738888888889
Lotto 649,2012,November,Thursday,16600000,604.6844444444445
Lotto 649,2012,November,Friday,16600000,1040.7333333333333
Lotto 649,2012,November,Saturday,17750000,1764.8083333333334
Lotto 649,2012,November,Sunday,23000000,310.7361111111111
Lotto 649,2012,December,Monday,7200000,552.6266666666667
Lotto 649,2012,December,Tuesday,8239814.814814814,501.5351851851852
Lotto 649,2012,December,Wednesday,8250000,1555.8638888888888
Lotto 649,2012,December,Thursday,11625000,543.5444444444445
Lotto 649,2012,December,Friday,11625000,915.7333333333333
Lotto 649,2012,December,Saturday,11700000,1589.1377777777777
Lotto 649,2012,December,Sunday,7200000,270.5888888888889
Lotto 649,2013,January,Monday,7250000,409.3611111111111
Lotto 649,2013,January,Tuesday,6409444.444444444,503.18
Lotto 649,2013,January,Wednesday,6400000,1507.8422222222223
Lotto 649,2013,January,Thursday,5700000,463.1666666666667
Lotto 649,2013,January,Friday,5375000,759.3611111111111
Lotto 649,2013,January,Saturday,5375000,1447.5583333333334
Lotto 649,2013,January,Sunday,7250000,243.29166666666666
Lotto 649,2013,February,Monday,11500000,461.6138888888889
Lotto 649,2013,February,Tuesday,11500000,766.5333333333333
Lotto 649,2013,February,Wednesday,11500000,1738.775
Lotto 649,2013,February,Thursday,14375000,646.6805555555555
Lotto 649,2013,February,Friday,8625000,848.8611111111111
Lotto 649,2013,February,Saturday,8625000,1601.0083333333334
Lotto 649,2013,February,Sunday,11500000,294.7361111111111
Lotto 649,2013,March,Monday,9250000,448.4
Lotto 649,2013,March,Tuesday,9250000,629.0027777777777
Lotto 649,2013,March,Wednesday,9250000,1656.1444444444444
Lotto 649,2013,March,Thursday,13500000,693.9194444444445
Lotto 649,2013,March,Friday,16800000,945.9511111111111
Lotto 649,2013,March,Saturday,16800000,1786.4755555555555
Lotto 649,2013,March,Sunday,13400000,273.0111111111111
Lotto 649,2013,April,Monday,18200000,565.2844444444445
Lotto 649,2013,April,Tuesday,18200000,846.1977777777778
Lotto 649,2013,April,Wednesday,22000000,2374.777777777778
Lotto 649,2013,April,Thursday,29000000,932.475
Lotto 649,2013,April,Friday,29000000,1828.8083333333334
Lotto 649,2013,April,Saturday,29000000,3094.3055555555557
Lotto 649,2013,April,Sunday,15250000,335.8722222222222
Lotto 649,2013,May,Monday,6250000,366.4138888888889
Lotto 649,2013,May,Tuesday,6250000,586.05
Lotto 649,2013,May,Wednesday,5600000,1578.6377777777777
Lotto 649,2013,May,Thursday,8600000,557.6866666666666
Lotto 649,2013,May,Friday,8600000,924.5422222222222
Lotto 649,2013,May,Saturday,9875000,1653.1944444444443
Lotto 649,2013,May,Sunday,6250000,250.25833333333333
Lotto 649,2013,June,Monday,8750000,446.4111111111111
Lotto 649,2013,June,Tuesday,8750000,644.9694444444444
Lotto 649,2013,June,Wednesday,8750000,1654.4555555555555
Lotto 649,2013,June,Thursday,7250000,509.4527777777778
Lotto 649,2013,June,Friday,7250000,847.6194444444444
Lotto 649,2013,June,Saturday,6500000,1460.4511111111112
Lotto 649,2013,June,Sunday,10000000,271.70666666666665
Lotto 649,2013,July,Monday,7000000,352.0577777777778
Lotto 649,2013,July,Tuesday,7000000,574.7911111111111
Lotto 649,2013,July,Wednesday,7000000,1516.5822222222223
Lotto 649,2013,July,Thursday,9250000,522.5583333333333
